"Production Company","Qualified CT Expenditures","Date Issued","Amount of Tax Credit Issued","Program Name","Statutory Reference","Municipality"
"Connecticut Public Broadcasting, Inc.","$4,451,853.00","2024-02-09T00:00:00.000","$1,335,556","Film and Digital Media Production Tax Credit","CGS 12-217jj","Hartford"
"Swing by Swing Golf, Inc.","$2,426,125.00","2024-02-23T00:00:00.000","$727,838","Film and Digital Media Production Tax Credit","CGS 12-217jj","Hartford"
"Cine Magnetics, Inc.","$4,343,087.00","2024-02-29T00:00:00.000","$1,302,926","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Banshee The Film, Inc.","$6,680,077.00","2024-03-08T00:00:00.000","$2,004,023","Film and Digital Media Production Tax Credit","CGS 12-217jj","Bloomfield"
"Stephen David Entertainment, LLC","$9,174,284.00","2024-03-08T00:00:00.000","$2,752,285","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"NBC Sports Network, LP","$77,925,905.00","2024-03-21T00:00:00.000","$23,377,772","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"First Alternative Productions, LLC","$4,484,948.00","2024-03-27T00:00:00.000","$1,345,484","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Lucky 8 TV, LLC","$10,484,124.00","2024-03-27T00:00:00.000","$3,145,237","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Vintage Park, Inc.","$7,993,450.00","2024-03-27T00:00:00.000","$2,398,035","Film and Digital Media Production Tax Credit","CGS 12-217jj","Hartford"
"Sliding Into Home, LLC","$2,454,981.00","2024-04-11T00:00:00.000","$736,494","Film and Digital Media Production Tax Credit","CGS 12-217jj","Rocky Hill"
"Tantor Media, Inc.","$6,945,732.00","2024-04-11T00:00:00.000","$2,083,720","Film and Digital Media Production Tax Credit","CGS 12-217jj","Old Saybrook"
"Wheelhouse Holdings, LLC","$6,569,404.00","2024-05-02T00:00:00.000","$1,970,821","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Full Frontal, LLC","$16,549,580.00","2024-06-14T00:00:00.000","$4,964,874","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwalk"
"Northern Entertainment Production, LLC","$1,205,133.00","2024-06-28T00:00:00.000","$361,540","Film and Digital Media Production Tax Credit","CGS 12-217jj","Ledyard"
"NBC Sports Network, LP","$73,043,886.00","2024-07-05T00:00:00.000","$21,913,166","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Johnson Production Group, Connecticut, Inc.","$11,188,306.00","2024-07-11T00:00:00.000","$3,356,492","Film and Digital Media Production Tax Credit","CGS 12-217jj","Westport"
"Mama Bear The Film, Inc.","$3,308,576.00","2024-07-25T00:00:00.000","$992,573","Film and Digital Media Production Tax Credit","CGS 12-217jj","Middletown"
"StageOne Productions, LLC","$1,016,125.00","2024-07-25T00:00:00.000","$304,838","Film and Digital Media Production Tax Credit","CGS 12-217jj","Rocky Hill"
"World Wrestling Entertainment, Inc.","$63,252,698.00","2024-07-31T00:00:00.000","$12,650,539","Film Infrastructure Tax Credit","CGS 12-217kk","Stamford"
"Digital Surgeons, LLC","$4,182,931.00","2024-08-07T00:00:00.000","$1,254,879","Film and Digital Media Production Tax Credit","CGS 12-217jj","New Haven"
"ITV America, Inc.","$31,142,311.00","2024-08-07T00:00:00.000","$9,342,693","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"StageOne, LLC","$1,434,803.00","2024-08-09T00:00:00.000","$430,441","Film and Digital Media Production Tax Credit","CGS 12-217jj","Rocky Hill"
"Fog of War The Film, Inc.","$3,133,626.00","2024-08-28T00:00:00.000","$940,088","Film and Digital Media Production Tax Credit","CGS 12-217jj","Ledyard"
"HomeField US, Inc","$1,200,834.00","2024-08-28T00:00:00.000","$360,250","Film and Digital Media Production Tax Credit","CGS 12-217jj","Greenwich"
"TPC Productions CT, Inc.","$1,178,661.00","2024-09-05T00:00:00.000","$353,598","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"World Wrestling Entertainment, Inc.","$7,000,918.00","2024-09-05T00:00:00.000","$2,100,275","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"XVIVO, LLC","$1,669,484.00","2024-09-27T00:00:00.000","$500,845","Film and Digital Media Production Tax Credit","CGS 12-217jj","Wethersfield"
"BH Phone Company","$34,545,061.00","2024-10-03T00:00:00.000","$10,363,518","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwalk"
"National Media Connection LLC","$502,186.00","2024-10-09T00:00:00.000","$75,328","Film and Digital Media Production Tax Credit","CGS 12-217jj","New London"
"Christmas Always, LLC","$3,865,005.00","2024-10-22T00:00:00.000","$1,159,502","Film and Digital Media Production Tax Credit","CGS 12-217jj","Rocky Hill"
"Park Slope Productions, Inc.","$1,797,500.00","2024-10-22T00:00:00.000","$539,250","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Plywood Pictures LLC","$2,388,371.00","2024-10-25T00:00:00.000","$716,511","Film and Digital Media Production Tax Credit","CGS 12-217jj","Guilford"
"World Wrestling Entertainment Inc.","$44,988,325.00","2024-09-05T00:00:00.000","$13,496,498","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
