"Production Company","Qualified CT Expenditures","Date Issued","Amount of Tax Credit Issued","Program Name","Statutory Reference","Municipality"
"Triple Threat Connecticut, LLC","$1,144,421.00","2017-05-19T00:00:00.000","$343,326","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Rainmaker, LLC","$1,211,082.00","2017-06-07T00:00:00.000","$363,325","Film and Digital Media Production Tax Credit","CGS 12-217jj","New Haven"
"Valleycrest Productions Ltd.","$12,433,464.00","2017-06-07T00:00:00.000","$3,730,039","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"SeeClickFix, Inc.","$3,954,125.00","2017-06-13T00:00:00.000","$1,186,238","Film and Digital Media Production Tax Credit","CGS 12-217jj","New Haven"
"The Wall Street Theater Company, Inc.","$9,587,517.00","2017-07-07T00:00:00.000","$1,917,503","Film Infrastructure Tax Credit","CGS 12-217kk","Norwalk"
"Silver Plume Productions, LLC","$723,314.00","2013-02-19T00:00:00.000","$108,497","Film and Digital Media Production Tax Credit","CGS 12-217jj","Greenwich"
"Sono Studios LTD LLC","$1,107,974.00","2017-07-21T00:00:00.000","$332,392","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwalk"
"XVIVO, LLC","$1,354,964.00","2017-07-24T00:00:00.000","$406,489","Film and Digital Media Production Tax Credit","CGS 12-217jj","Wethersfield"
"LifeMed Media Inc.","$1,440,206.00","2017-08-09T00:00:00.000","$432,062","Film and Digital Media Production Tax Credit","CGS 12-217jj","Wilton"
"Silver Plume Productions, LLC","$576,261.00","2014-07-03T00:00:00.000","$86,439","Film and Digital Media Production Tax Credit","CGS 12-217jj","Greenwich"
"National Media Connection LLC","$371,595.00","2017-08-18T00:00:00.000","$37,160","Film and Digital Media Production Tax Credit","CGS 12-217jj","New London"
"A&E Television Networks, LLC","$29,671,318.00","2017-09-13T00:00:00.000","$8,901,395","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"NBC Olympics, LLC","$2,799,350.00","2017-09-13T00:00:00.000","$839,805","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"NBC Sports Ventures LLC","$9,334,002.00","2017-09-13T00:00:00.000","$2,800,201","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Mayor Entertainment, LLC","$1,025,538.00","2017-09-26T00:00:00.000","$307,661","Film and Digital Media Production Tax Credit","CGS 12-217jj","Bridgeport"
"World Wrestling Entertainment Inc.","$31,917,540.00","2017-09-28T00:00:00.000","$9,575,262","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"World Wrestling Entertainment, Inc.","$10,073,608.00","2017-09-28T00:00:00.000","$3,022,082","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Connecticut Public Broadcasting, Inc.","$3,469,139.00","2017-10-10T00:00:00.000","$1,040,742","Film and Digital Media Production Tax Credit","CGS 12-217jj","Hartford"
"ESPN Enterprises, Inc.","$27,998,685.00","2017-10-31T00:00:00.000","$8,399,606","Film and Digital Media Production Tax Credit","CGS 12-217jj","Bristol"
"ESPN Internet Ventures","$31,656,801.00","2017-10-31T00:00:00.000","$9,497,040","Film and Digital Media Production Tax Credit","CGS 12-217jj","Bristol"
"Big Spoon Industries, LLC","$558,727.00","2017-11-26T00:00:00.000","$83,809","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Blue Sky Studios, Inc.","$86,372,022.00","2017-11-30T00:00:00.000","$25,911,607","Film and Digital Media Production Tax Credit","CGS 12-217jj","Greenwich"
"NBC Olympics, LLC","$4,287,374.00","2017-12-15T00:00:00.000","$1,286,212","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"NBC Sports Ventures LLC","$11,197,367.00","2017-12-15T00:00:00.000","$3,359,210","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Tantor Media, Inc.","$4,107,016.00","2017-12-28T00:00:00.000","$1,232,105","Film and Digital Media Production Tax Credit","CGS 12-217jj","Old Saybrook"
"NBC Sports Network, LP","$67,869,097.00","2017-12-29T00:00:00.000","$20,360,729","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Silver Plume Productions, LLC","$626,060.00","2015-11-03T00:00:00.000","$93,909","Film and Digital Media Production Tax Credit","CGS 12-217jj","Greenwich"
"Ralph Edwards/Stu Billett Productions","$12,836,006.00","2018-02-02T00:00:00.000","$3,850,802","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Hedgeye Risk Management, LLC","$8,499,702.00","2018-02-15T00:00:00.000","$2,549,911","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"FilmOne, LLC","$2,021,545.00","2018-02-28T00:00:00.000","$606,464","Film and Digital Media Production Tax Credit","CGS 12-217jj","Rocky Hill"
"This Old House Ventures, LLC","$3,787,162.00","2018-03-09T00:00:00.000","$1,136,149","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Bob's Discount Furniture LLC","$2,348,578.00","2018-03-21T00:00:00.000","$704,573","Film and Digital Media Production Tax Credit","CGS 12-217jj","Manchester"
"Digital Surgeons, LLC","$3,367,706.00","2018-04-04T00:00:00.000","$1,010,312","Film and Digital Media Production Tax Credit","CGS 12-217jj","New Haven"
"LG Direct, Inc.","$2,059,059.00","2018-05-21T00:00:00.000","$617,718","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"ESPN Enterprises, Inc.","$35,307,020.00","2018-05-22T00:00:00.000","$10,592,106","Film and Digital Media Production Tax Credit","CGS 12-217jj","Bristol"
"ESPN Internet Ventures","$22,557,446.00","2018-05-22T00:00:00.000","$6,767,234","Film and Digital Media Production Tax Credit","CGS 12-217jj","Bristol"
"Zoe 7, LLC","$1,020,247.00","2018-05-23T00:00:00.000","$306,074","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwalk"
"Triple Threat Connecticut, LLC","$1,188,366.00","2018-06-28T00:00:00.000","$356,510","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Christmas Hours, LLC","$1,402,604.00","2018-07-01T00:00:00.000","$420,781","Film and Digital Media Production Tax Credit","CGS 12-217jj","Westport"
"SeeClickFix, Inc.","$3,643,253.00","2018-07-09T00:00:00.000","$1,092,976","Film and Digital Media Production Tax Credit","CGS 12-217jj","New Haven"
"XVIVO, LLC","$1,504,977.00","2018-07-09T00:00:00.000","$451,493","Film and Digital Media Production Tax Credit","CGS 12-217jj","Wethersfield"
"The Nantucket Project, LLC","$1,510,955.00","2018-07-20T00:00:00.000","$453,287","Film and Digital Media Production Tax Credit","CGS 12-217jj","Greenwich"
"Sono Studios LTD LLC","$1,024,318.00","2018-08-08T00:00:00.000","$307,295","Film and Digital Media Production Tax Credit","CGS 12-217jj","Norwalk"
"National Media Connection LLC","$379,574.00","2018-09-04T00:00:00.000","$37,957","Film and Digital Media Production Tax Credit","CGS 12-217jj","New London"
"Stamford Media Center Productions, LLC","$29,942,900.00","2018-09-20T00:00:00.000","$8,982,870","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Stamford Media Center Productions, LLC","$16,731,652.00","2018-09-20T00:00:00.000","$5,019,495.6","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Stamford Media Center Productions, LLC","$12,721,169.00","2018-09-20T00:00:00.000","$3,816,350.7","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Stamford Media Center Productions, LLC","$11,458,592.00","2018-09-20T00:00:00.000","$3,437,577.6","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"World Wrestling Entertainment Inc.","$33,043,425.00","2018-09-24T00:00:00.000","$9,913,028","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"World Wrestling Entertainment, Inc.","$11,278,143.00","2018-09-24T00:00:00.000","$3,383,443","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"NBC Sports Network, LP","$69,682,175.00","2018-09-28T00:00:00.000","$20,904,653","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Connecticut Public Broadcasting, Inc.","$3,473,237.00","2018-10-15T00:00:00.000","$1,041,971","Film and Digital Media Production Tax Credit","CGS 12-217jj","Hartford"
"NBC Olympics, LLC","$4,424,092.00","2018-10-15T00:00:00.000","$1,327,228","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"NBC Sports Ventures LLC","$13,254,489.00","2018-10-15T00:00:00.000","$3,976,347","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Fitscript, LLC","$1,113,388.00","2018-11-15T00:00:00.000","$334,016","Film and Digital Media Production Tax Credit","CGS 12-217jj","New Haven"
"Blue Sky Studios, Inc.","$91,903,268.00","2018-11-29T00:00:00.000","$27,570,980","Film and Digital Media Production Tax Credit","CGS 12-217jj","Greenwich"
"A&E Television Networks, LLC","$25,205,532.00","2018-12-14T00:00:00.000","$7,561,660","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Hedgeye Risk Management, LLC","$9,015,017.00","2018-12-31T00:00:00.000","$2,704,505","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Tantor Media, Inc.","$5,204,200.00","2018-12-31T00:00:00.000","$1,561,260","Film and Digital Media Production Tax Credit","CGS 12-217jj","Old Saybrook"
"StageOne, LLC","$1,247,695.00","2019-01-29T00:00:00.000","$374,309","Film and Digital Media Production Tax Credit","CGS 12-217jj","Rocky Hill"
"Cine Magnetics, Inc.","$4,551,828.00","2019-02-06T00:00:00.000","$1,365,548","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Wilhelm Reich Documentary Film Project LLC","$155,047.00","2019-02-19T00:00:00.000","$15,505","Film and Digital Media Production Tax Credit","CGS 12-217jj","Glastonbury"
"Swing by Swing Golf, Inc.","$1,675,145.00","2019-02-21T00:00:00.000","$502,544","Film and Digital Media Production Tax Credit","CGS 12-217jj","Hartford"
"Hot Snakes Holdings, LLC","$2,448,384.00","2019-02-28T00:00:00.000","$734,515","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"LifeMed Media Inc.","$618,807.00","2019-03-20T00:00:00.000","$92,821","Film and Digital Media Production Tax Credit","CGS 12-217jj","Wilton"
"Ralph Edwards/Stu Billett Productions","$14,041,324.00","2019-03-20T00:00:00.000","$4,212,397","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Digital Surgeons, LLC","$3,923,299.00","2019-04-25T00:00:00.000","$1,175,685","Film and Digital Media Production Tax Credit","CGS 12-217jj","New Haven"
"This Old House Ventures, LLC","$4,276,382.00","2019-04-29T00:00:00.000","$1,282,915","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Stamford Media Center Productions, LLC","$30,909,190.00","2019-05-01T00:00:00.000","$9,272,757","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Stamford Media Center Productions, LLC","$16,383,086.00","2019-05-01T00:00:00.000","$4,914,925.8","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Stamford Media Center Productions, LLC","$13,477,870.00","2019-05-01T00:00:00.000","$4,043,361","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"World Wrestling Entertainment, Inc.","$8,262,988.00","2019-05-20T00:00:00.000","$1,652,598","Film Infrastructure Tax Credit","CGS 12-217kk","Stamford"
"Bob's Discount Furniture LLC","$2,522,788.00","2019-06-04T00:00:00.000","$756,836","Film and Digital Media Production Tax Credit","CGS 12-217jj","Manchester"
"ESPN Enterprises, Inc.","$33,004,945.00","2019-06-07T00:00:00.000","$9,901,484","Film and Digital Media Production Tax Credit","CGS 12-217jj","Bristol"
"ESPN Internet Ventures","$21,951,191.00","2019-06-07T00:00:00.000","$6,585,357","Film and Digital Media Production Tax Credit","CGS 12-217jj","Bristol"
"Reindeer Games, LLC","$1,250,989.00","2019-06-10T00:00:00.000","$375,297","Film and Digital Media Production Tax Credit","CGS 12-217jj","North Haven"
"NBCUniversal Media, LLC","$10,988,850.00","2019-06-21T00:00:00.000","$2,197,770","Film Infrastructure Tax Credit","CGS 12-217kk","Stamford"
"ITV America, Inc.","$14,021,448.00","2019-06-25T00:00:00.000","$4,206,434","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"National Media Connection LLC","$469,016.00","2019-07-15T00:00:00.000","$46,902","Film and Digital Media Production Tax Credit","CGS 12-217jj","New London"
"XVIVO, LLC","$1,629,317.00","2019-07-15T00:00:00.000","$488,795","Film and Digital Media Production Tax Credit","CGS 12-217jj","Wethersfield"
"SeeClickFix, Inc.","$3,831,017.00","2019-07-30T00:00:00.000","$1,149,305","Film and Digital Media Production Tax Credit","CGS 12-217jj","New Haven"
"The Nantucket Project, LLC","$2,675,318.00","2019-08-09T00:00:00.000","$802,595","Film and Digital Media Production Tax Credit","CGS 12-217jj","Greenwich"
"Triple Threat Connecticut, LLC","$1,060,465.00","2019-08-26T00:00:00.000","$318,140","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"World Wrestling Entertainment Inc.","$33,505,064.00","2019-09-09T00:00:00.000","$10,051,519","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"World Wrestling Entertainment, Inc.","$14,379,535.00","2019-09-09T00:00:00.000","$4,313,861","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Silver Plume Productions, LLC","$603,087.00","2017-08-15T00:00:00.000","$90,463","Film and Digital Media Production Tax Credit","CGS 12-217jj","Greenwich"
"Fitscript, LLC","$1,125,843.00","2019-10-29T00:00:00.000","$337,753","Film and Digital Media Production Tax Credit","CGS 12-217jj","New Haven"
"Stamford Media Center Productions, LLC","$31,841,788.00","2019-11-04T00:00:00.000","$9,552,537","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Stamford Media Center Productions, LLC","$16,297,522.00","2019-11-04T00:00:00.000","$4,889,257","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Stamford Media Center Productions, LLC","$14,180,056.00","2019-11-04T00:00:00.000","$4,254,016","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Stamford Media Center Productions, LLC","$6,328,487.00","2019-11-04T00:00:00.000","$1,898,546","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"The Wall Street Theater Company, Inc.","$3,196,971.00","2019-11-20T00:00:00.000","$639,394","Film Infrastructure Tax Credit","CGS 12-217kk","Norwalk"
"FilmOne, LLC","$2,402,117.00","2019-11-23T00:00:00.000","$720,635","Film and Digital Media Production Tax Credit","CGS 12-217jj","Rocky Hill"
"Christmas Hours, LLC","$1,302,462.00","2019-11-25T00:00:00.000","$390,739","Film and Digital Media Production Tax Credit","CGS 12-217jj","Westport"
"Sonalysts, Inc.","$1,037,170.00","2019-11-25T00:00:00.000","$311,151","Film and Digital Media Production Tax Credit","CGS 12-217jj","Waterford"
"Swing by Swing Golf, Inc.","$2,309,036.00","2019-12-05T00:00:00.000","$692,711","Film and Digital Media Production Tax Credit","CGS 12-217jj","Hartford"
"Connecticut Public Broadcasting, Inc.","$3,169,265.00","2019-12-10T00:00:00.000","$950,780","Film and Digital Media Production Tax Credit","CGS 12-217jj","Hartford"
"A&E Television Networks, LLC","$30,725,964.00","2019-12-16T00:00:00.000","$9,217,789","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"ESPN Internet Ventures","$7,020,924.00","2019-12-16T00:00:00.000","$2,106,277","Film and Digital Media Production Tax Credit","CGS 12-217jj","Bristol"
"Stamford Media Center Productions, LLC","$31,846,716.00","2019-12-23T00:00:00.000","$9,554,014.8","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Stamford Media Center Productions, LLC","$15,394,040.00","2019-12-23T00:00:00.000","$4,618,212","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Stamford Media Center Productions, LLC","$14,600,325.00","2019-12-23T00:00:00.000","$4,380,097.5","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Hedgeye Risk Management, LLC","$8,458,589.00","2019-12-31T00:00:00.000","$2,537,577","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Tantor Media, Inc.","$6,205,665.00","2019-12-31T00:00:00.000","$1,861,700","Film and Digital Media Production Tax Credit","CGS 12-217jj","Old Saybrook"
"Blue Sky Studios, Inc.","$106,798,984.00","2020-01-08T00:00:00.000","$32,039,695","Film and Digital Media Production Tax Credit","CGS 12-217jj","Greenwich"
"Hot Snakes Holdings, LLC","$3,078,618.00","2020-01-22T00:00:00.000","$923,585","Film and Digital Media Production Tax Credit","CGS 12-217jj","Greenwich"
"Ralph Edwards/Stu Billett Productions","$12,151,626.00","2020-03-06T00:00:00.000","$3,645,488","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Honeysuckle Lane, LLC","$1,934,619.00","2020-03-13T00:00:00.000","$580,386","Film and Digital Media Production Tax Credit","CGS 12-217jj","Rocky Hill"
"This Old House Ventures, LLC","$4,680,528.00","2020-03-18T00:00:00.000","$1,404,158","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Cine Magnetics, Inc.","$3,298,652.00","2020-03-25T00:00:00.000","$989,586","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Explorer Films, LLC","$1,512,962.00","2020-03-31T00:00:00.000","$453,889","Film and Digital Media Production Tax Credit","CGS 12-217jj","Weston"
"Digital Surgeons, LLC","$4,294,385.00","2020-04-03T00:00:00.000","$1,288,316","Film and Digital Media Production Tax Credit","CGS 12-217jj","New Haven"
"Triple Threat Connecticut, LLC","$1,353,227.00","2020-04-14T00:00:00.000","$405,968","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"ESPN Internet Ventures","$23,048,116.00","2020-06-18T00:00:00.000","$6,914,435","Film and Digital Media Production Tax Credit","CGS 12-217jj","Bristol"
"ESPN Enterprises, Inc.","$29,287,832.00","2020-06-24T00:00:00.000","$8,786,350","Film and Digital Media Production Tax Credit","CGS 12-217jj","Bristol"
"Brainstorm Media CT, LLC","$1,532,438.00","2020-07-02T00:00:00.000","$459,731","Film and Digital Media Production Tax Credit","CGS 12-217jj","Rocky Hill"
"National Media Connection LLC","$515,471.00","2020-07-15T00:00:00.000","$77,321","Film and Digital Media Production Tax Credit","CGS 12-217jj","New London"
"Silver Plume Productions, LLC","$719,382.00","2020-07-15T00:00:00.000","$107,907","Film and Digital Media Production Tax Credit","CGS 12-217jj","Greenwich"
"NBC Olympics, LLC","$4,628,536.00","2020-08-04T00:00:00.000","$1,388,561","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"NBC Sports Ventures LLC","$15,033,523.00","2020-08-04T00:00:00.000","$4,510,057","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Bob's Discount Furniture LLC","$2,872,491.00","2020-08-12T00:00:00.000","$861,747","Film and Digital Media Production Tax Credit","CGS 12-217jj","Manchester"
"NBC Sports Network, LP","$76,053,012.00","2020-08-27T00:00:00.000","$22,815,904","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"SeeClickFix, Inc.","$4,083,514.00","2020-09-03T00:00:00.000","$1,225,054","Film and Digital Media Production Tax Credit","CGS 12-217jj","New Haven"
"XVIVO, LLC","$1,705,217.00","2020-09-03T00:00:00.000","$511,565","Film and Digital Media Production Tax Credit","CGS 12-217jj","Wethersfield"
"World Wrestling Entertainment Inc.","$37,998,930.00","2020-09-30T00:00:00.000","$11,399,679","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"World Wrestling Entertainment, Inc.","$18,758,439.00","2020-09-30T00:00:00.000","$5,627,532","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Lucky 8 TV, LLC","$2,777,280.00","2020-11-19T00:00:00.000","$833,184","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Connecticut Public Broadcasting, Inc.","$3,281,671.00","2020-12-01T00:00:00.000","$984,501","Film and Digital Media Production Tax Credit","CGS 12-217jj","Hartford"
"A&E Television Networks, LLC","$31,268,110.00","2020-12-08T00:00:00.000","$9,380,433","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"ITV America, Inc.","$24,447,042.00","2020-12-10T00:00:00.000","$7,334,113","Film and Digital Media Production Tax Credit","CGS 12-217jj","Stamford"
"Worst Company, LLC","$1,576,612.00","2020-12-10T00:00:00.000","$472,984","Film and Digital Media Production Tax Credit","CGS 12-217jj","Monroe"
